account_id,company_name,company_email,company_phone,company_address,company_country,company_city,company_credit_limit,company_currency
3cc0b320-1ff8-4040-a985-14d1f1559bfc,Velocity Performance Holdings,velocity_performance_holdings@company.com,+49-711-966-2716,"861 Princes St, Hamburg, 20095",Germany,Hamburg,14545,EUR
b6ee6aa5-4443-44ca-82f7-41e316a548d7,Flex Outfitters Holdings,flex_outfitters_holdings@company.com,+49-556-167-7539,"199 Fleet St, Munich, 80331",Germany,Munich,25488,EUR
ea1e8176-2a08-4c65-ba6d-3bfeaadbc1eb,Stride Outfitters Holdings,stride_outfitters_holdings@company.com,+44-824-876-8152,"202 Fleet St, London, SW1A 1AA",United Kingdom,London,18541,GBP
9dcf068b-1cc3-4ba2-9b3c-863252d6298f,Zen Arena Holdings,zen_arena_holdings@company.com,+49-876-258-9078,"885 Baker St, Berlin, 10117",Germany,Berlin,15547,EUR
b9129e08-cc22-470e-ace6-41405ca66ea6,Core Collective Holdings,core_collective_holdings@company.com,+44-320-114-6065,"52 High St, London, SW1A 1AA",United Kingdom,London,12206,GBP
ab8d8953-ee02-464c-9520-058239b26a23,Pulse Performance Holdings,pulse_performance_holdings@company.com,+44-635-485-6071,"620 King's Rd, Manchester, M2 5DB",United Kingdom,Manchester,22582,GBP
646bce0a-3010-4e0a-8654-0207e8d6b7b9,Core Athletics Holdings,core_athletics_holdings@company.com,+49-650-907-3044,"449 Speicherstadt, Berlin, 10117",Germany,Berlin,16977,EUR
a17f6734-81cb-449e-ab69-c6367cfe7343,Pulse Outfitters Holdings,pulse_outfitters_holdings@company.com,+49-200-998-5265,"48 Regent St, Munich, 80331",Germany,Munich,11593,EUR
6e917743-ffe2-4774-aa72-7e3134b79630,Peak Performance Holdings,peak_performance_holdings@company.com,+44-608-687-2075,"340 Piccadilly, London, SW1A 1AA",United Kingdom,London,17409,GBP
b7e88260-4118-4f96-a3ca-f58e73449e8f,Stride Dynamics Holdings,stride_dynamics_holdings@company.com,+44-965-384-2979,"538 Oxford St, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,10553,GBP
ddc7c570-1f0c-480a-9d2b-d5d52fbb2520,Stride Athletics Holdings,stride_athletics_holdings@company.com,+49-566-751-1119,"467 Fleet St, Berlin, 10117",Germany,Berlin,29250,EUR
3c2db29a-e49a-4488-9b33-d213d7d7e60f,Core Athletics Holdings,core_athletics_holdings@company.com,+44-667-199-2830,"65 Maximilianstrasse, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,18823,GBP
20ca2a9e-78dc-477a-8daf-d9013fab6274,Zen Outfitters Holdings,zen_outfitters_holdings@company.com,+49-601-294-6727,"880 King's Rd, Munich, 80331",Germany,Munich,10889,EUR
01476f10-9cd2-471a-b50b-e95ab85815ca,Apex Studios Holdings,apex_studios_holdings@company.com,+49-783-812-7370,"810 Queen St, Munich, 80331",Germany,Munich,11874,EUR
1b0c6767-3567-4ed1-8583-95ff2ae6665e,Core Gear Holdings,core_gear_holdings@company.com,+44-742-736-6149,"661 High St, Manchester, M2 5DB",United Kingdom,Manchester,11330,GBP
abfbcf1c-6736-484e-87e5-baa7f5270efb,Stride Co Holdings,stride_co_holdings@company.com,+49-492-277-7129,"82 Marktplatz, Munich, 80331",Germany,Munich,14441,EUR
c57e3125-9b30-4819-973f-59e4e7642a3f,Flex Co Holdings,flex_co_holdings@company.com,+44-404-799-4240,"952 Oxford St, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,25881,GBP
81ff9908-0949-422c-9212-55c06c337abf,Core Performance Holdings,core_performance_holdings@company.com,+44-331-672-3530,"434 Baker St, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,20630,GBP
9cc40d22-42dd-465f-9148-29e3a8dcf66b,Flex Dynamics Holdings,flex_dynamics_holdings@company.com,+49-893-276-9782,"395 Maximilianstrasse, Berlin, 10117",Germany,Berlin,22745,EUR
54ebff94-cc51-4b2e-9490-9ea3929854e1,Zen Athletics Holdings,zen_athletics_holdings@company.com,+49-500-544-9641,"432 Marktplatz, Munich, 80331",Germany,Munich,17986,EUR
f7caba17-93c7-469a-895f-f7a314560d3c,Flex Performance Holdings,flex_performance_holdings@company.com,+49-311-397-4733,"773 Royal Mile, Hamburg, 20095",Germany,Hamburg,29686,EUR
20bbf72e-b1c8-4096-9cf8-6cbc6e689284,Velocity Arena Holdings,velocity_arena_holdings@company.com,+44-690-619-7867,"29 Baker St, London, SW1A 1AA",United Kingdom,London,16825,GBP
a0988c66-70f9-4c6e-98af-bc58444778cf,Pulse Gear Holdings,pulse_gear_holdings@company.com,+44-869-286-1561,"529 King's Rd, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,10257,GBP
62acda76-bd09-4178-b57e-c616f88295f9,Momentum Co Holdings,momentum_co_holdings@company.com,+49-617-294-8479,"231 Queen St, Hamburg, 20095",Germany,Hamburg,16009,EUR
e179d6ad-7891-41d7-8e97-2565d982ef05,Zen Studios Holdings,zen_studios_holdings@company.com,+44-696-454-4993,"667 Leopoldstrasse, London, SW1A 1AA",United Kingdom,London,21963,GBP
38e0b4d8-2846-41dc-87ff-16a6f29a98c7,Flex Studios Holdings,flex_studios_holdings@company.com,+44-905-254-3194,"820 High St, Manchester, M2 5DB",United Kingdom,Manchester,19314,GBP
1727e618-933d-46fb-8a8e-f26230910986,Apex Gear Holdings,apex_gear_holdings@company.com,+44-798-347-5298,"961 High St, London, SW1A 1AA",United Kingdom,London,28027,GBP
f70337c7-af00-4df0-83a9-5ae1ba694b48,Momentum Collective Holdings,momentum_collective_holdings@company.com,+44-452-858-2350,"480 Piccadilly, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,27398,GBP
f22af2ae-c627-42a7-ac14-8abaf7deeeb3,Peak Gear Holdings,peak_gear_holdings@company.com,+44-434-831-9785,"846 Speicherstadt, London, SW1A 1AA",United Kingdom,London,12303,GBP
d4b8a65f-b243-4159-a1e3-8af19b32939b,Momentum Arena Holdings,momentum_arena_holdings@company.com,+44-580-464-8451,"124 Regent St, London, SW1A 1AA",United Kingdom,London,15618,GBP
e2f42f94-b55f-4460-8b3b-d1c1383787d2,Stride Performance Holdings,stride_performance_holdings@company.com,+49-963-557-8322,"360 Royal Mile, Hamburg, 20095",Germany,Hamburg,23635,EUR
59a31364-d01b-4bdc-8827-28a1f8a8fc86,Summit Collective Holdings,summit_collective_holdings@company.com,+49-592-213-5509,"872 Regent St, Munich, 80331",Germany,Munich,14348,EUR
27c6e66b-c11a-4641-8176-1b0a4b4be28b,Zen Arena Holdings,zen_arena_holdings@company.com,+49-344-431-6219,"636 Princes St, Berlin, 10117",Germany,Berlin,11987,EUR
9134a46f-67d6-4019-a958-16d4d2048156,Zen Athletics Holdings,zen_athletics_holdings@company.com,+49-729-348-4930,"22 Queen St, Hamburg, 20095",Germany,Hamburg,18798,EUR
0960afac-be79-4c93-87cc-aae1f1ad9408,Velocity Collective Holdings,velocity_collective_holdings@company.com,+44-368-533-8710,"894 Piccadilly, London, SW1A 1AA",United Kingdom,London,19888,GBP
13bddbc6-2f44-4b3d-8ab9-d07267fbfa80,Apex Gear Holdings,apex_gear_holdings@company.com,+44-254-928-2625,"228 Speicherstadt, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,24625,GBP
ced0eab9-6014-42df-82e7-1d098308745c,Velocity Arena Holdings,velocity_arena_holdings@company.com,+44-867-423-1273,"666 Maximilianstrasse, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,22733,GBP
baf4211c-aa28-4dab-a527-10c936df2be2,Apex Labs Holdings,apex_labs_holdings@company.com,+49-923-143-8034,"480 Piccadilly, Berlin, 10117",Germany,Berlin,18683,EUR
282947b3-a0fb-41bc-b25b-f5f34e1e702c,Stride Performance Holdings,stride_performance_holdings@company.com,+44-390-921-6081,"933 Princes St, London, SW1A 1AA",United Kingdom,London,23107,GBP
bb7bf7f9-0481-405f-8b3d-b0745cbadf53,Peak Studios Holdings,peak_studios_holdings@company.com,+44-623-747-8891,"75 King's Rd, London, SW1A 1AA",United Kingdom,London,24261,GBP
ab6887dd-f864-4922-89e8-fb531c63bc11,Summit Athletics Holdings,summit_athletics_holdings@company.com,+44-751-455-6983,"490 Kurfürstendamm, Edinburgh, EH2 2DF",United Kingdom,Edinburgh,11182,GBP
f81da3d5-2c29-46f2-921a-a04f561c9514,Pulse Arena Holdings,pulse_arena_holdings@company.com,+49-531-955-4920,"423 Marktplatz, Munich, 80331",Germany,Munich,20230,EUR
e94af714-865d-4a1c-bf26-7a97d9d19af6,Stride Co Holdings,stride_co_holdings@company.com,+49-268-139-5300,"925 Unter den Linden, Berlin, 10117",Germany,Berlin,18795,EUR
ecf34b1c-0391-4007-9233-49e6711ac02f,Apex Outfitters Holdings,apex_outfitters_holdings@company.com,+44-320-558-5907,"227 Maximilianstrasse, Manchester, M2 5DB",United Kingdom,Manchester,27777,GBP
